data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-12-29,202501,51.0,51,51,51,0.8444264,3.7298806,0,2,150140220250120339,2025-09-08,,1.2342275,1367336,25.2248571428571,93.9884285714286,1,0.0,1,86.5647714285714,75.9731,26.7735,28.9454714285714,20.0,,,,,38458
2024-12-22,202452,39.0,39,39,39,0.32739097,2.8522615,0,2,150140220245220339,2025-09-08,,0.90638125,1367336,25.5952714285714,90.2593285714286,1,0.0,1,80.6723857142857,67.4581428571429,27.4382571428571,30.2229285714286,14.0,,,,,38458
2024-12-15,202451,42.0,42,42,42,0.38298643,3.0716665,0,2,150140220245120339,2025-09-08,,0.93836135,1367336,25.6742571428571,90.0825857142857,1,0.0,1,78.9813714285714,64.8431857142857,27.7903857142857,30.7780714285714,17.0,,,,,38458
2024-12-08,202450,38.0,38,38,38,0.28925836,2.7791266,0,1,150140220245020339,2025-09-08,,0.8843006,1367336,25.2804571428571,91.6054,1,0.0,1,82.732,67.4450142857143,27.1473,30.3178571428571,22.0,,,,,38458
2024-12-01,202449,56.0,56,56,56,0.9175786,4.0955553,0,1,150140220244920339,2025-09-08,,1.3235872,1367336,25.2401,89.8534428571429,1,0.0,1,81.1291857142857,66.6836714285714,26.9985142857143,29.8504428571429,16.0,,,,,38458
2024-11-24,202448,34.0,34,34,34,0.1989967,2.486587,0,1,150140220244820339,2025-09-08,,0.8234965,1367336,25.6952,86.8881142857143,0,0.0,1,70.9717,49.7172571428571,28.7224142857143,32.8709571428571,13.0,,,,,38458
2024-11-17,202447,47.0,47,47,47,0.7493799,3.437341,0,1,150140220244720339,2025-09-08,,1.15385,1367336,25.6651285714286,87.3080857142857,0,0.0,1,70.5315857142857,49.9775428571429,28.7993571428571,32.8546571428571,14.0,,,,,38458
2024-11-10,202446,42.0,42,42,42,0.42083448,3.0716665,0,1,150140220244620339,2025-09-08,,0.9579912,1367336,25.6292857142857,86.1582857142857,0,0.0,1,69.9992571428571,50.7124142857143,28.6910142857143,32.5626428571429,19.0,,,,,38458
2024-11-03,202445,36.0,36,36,36,0.117023915,2.6328568,0,1,150140220244520339,2025-09-08,,0.7699648,1367336,25.3129857142857,85.6154428571429,0,0.0,1,68.2197428571429,48.1652142857143,28.7558285714286,33.1314285714286,17.0,,,,,38458
2024-10-27,202444,44.0,44,44,44,0.49361935,3.2179363,0,1,150140220244420339,2025-09-08,,0.99661463,1367336,25.3828,84.9607857142857,0,0.0,1,68.8239571428571,47.4204,28.5696857142857,32.9783428571429,13.0,,,,,38458
2024-10-20,202443,52.0,52,52,52,0.8746491,3.8030155,0,1,150140220244320339,2025-09-08,,1.2687123,1367336,25.8322714285714,84.1691428571429,0,0.0,1,69.0551714285714,51.1680285714286,28.9304428571429,32.8152285714286,19.0,,,,,38458
2024-10-13,202442,48.0,48,48,48,0.70925766,3.5104759,0,1,150140220244220339,2025-09-08,,1.1221819,1367336,25.3856857142857,86.3239,0,0.0,1,69.7527857142857,48.6730142857143,28.6600571428571,32.9095714285714,14.0,,,,,38458
2024-10-06,202441,29.0,29,29,29,0.023896143,2.1209126,0,1,150140220244120339,2025-09-08,,0.6309039,1367336,25.4054857142857,86.4097,0,0.0,1,71.1689428571429,51.9619714285714,28.5191571428571,32.5040857142857,10.0,,,,,38458
2024-09-29,202440,53.0,53,53,53,0.642147,3.8761504,0,1,150140220244020339,2025-09-08,,1.074372,1367336,25.2618714285714,87.5761,1,0.0,1,73.6907857142857,54.1858,28.2986714285714,32.6056857142857,25.0,,,,,38458
2024-09-22,202439,35.0,35,35,35,0.07801793,2.559722,0,1,150140220243920339,2025-09-08,,0.73194206,1367336,25.3936857142857,85.5407285714286,1,0.0,1,70.1097428571428,52.5705857142857,28.5398,32.4782857142857,18.0,,,,,38458
2024-09-15,202438,62.0,62,62,62,0.9003572,4.5343647,0,1,150140220243820339,2025-09-08,,1.2764968,1367336,25.2808857142857,84.3744,0,0.0,2,67.8821714285714,47.9845285714286,28.8247142857143,33.3849428571429,29.0,,,,,38458
2024-09-08,202437,45.0,45,45,45,0.09245876,3.2910712,0,1,150140220243720339,2025-09-08,,0.77044016,1367336,25.3756857142857,84.7498571428571,0,0.0,1,67.4054571428571,43.7298714285714,28.9258857142857,33.7828714285714,16.0,,,,,38458
2024-09-01,202436,39.0,39,39,39,0.0015976973,2.8522615,0,1,150140220243620339,2025-09-08,,0.56224126,1367336,25.2036285714286,87.4004857142857,0,0.0,1,69.9513857142857,44.0525285714286,28.7691142857143,33.6467285714286,11.0,,,,,38458
2024-08-25,202435,59.0,59,59,59,0.117522836,4.31496,0,4,150140220243520332,2025-09-01,,0.81306344,1367336,25.191,89.0376285714286,0,0.0,2,73.1086571428571,49.7935142857143,28.4164857142857,32.9677285714286,23.0,,,,,38458
2024-08-18,202434,77.0,77,77,77,0.73185754,5.631388,0,4,150140220243420327,2025-08-27,,1.1073314,1367336,25.0327285714286,88.1065,0,0.0,2,72.2377142857143,50.0610428571429,28.2221571428571,32.2894285714286,24.0,,,,,38458
2024-08-11,202433,75.0,75,75,75,0.7577112,5.4851184,0,4,150140220243320320,2025-08-20,,1.1243298,1367336,25.0027142857143,90.2397428571429,1,0.0,2,74.6722,52.9430714285714,27.9477714285714,31.9796857142857,34.0,,,,,38458
2024-08-04,202432,71.0,71,71,71,0.5358171,5.192579,0,4,150140220243220312,2025-08-12,,1.0152155,1367336,25.2643714285714,87.9254,0,0.0,2,69.9560714285714,44.8385428571429,28.5397285714286,33.0832142857143,36.0,,,,,38458
2024-07-28,202431,62.0,62,62,62,0.123900294,4.5343647,0,4,150140220243120305,2025-08-05,,0.8211942,1367336,25.0331285714286,88.1376714285714,0,0.0,2,71.3773,48.5567857142857,28.2477,32.2754571428571,30.0,,,,,38458
2024-07-21,202430,65.0,65,65,65,0.14143035,4.7537694,0,4,150140220243020298,2025-07-29,,0.83562094,1367336,25.0745285714286,87.6246857142857,0,0.0,2,69.2698,44.5311285714286,28.3650285714286,32.5272571428571,41.0,,,,,38458
2024-07-14,202429,87.0,87,87,87,0.66514206,6.3627377,0,4,150140220242920291,2025-07-22,,1.067776,1367336,25.0860857142857,88.4290285714286,0,0.0,2,71.0289,46.1233714285714,28.1861857142857,32.2375142857143,48.0,,,,,38458
2024-07-07,202428,69.0,69,69,69,0.06514822,5.046309,0,4,150140220242820283,2025-07-14,,0.7851968,1367336,24.8059714285714,89.7934857142857,1,0.0,2,77.9897142857143,60.4295,27.3370571428571,30.5830714285714,35.0,,,,,38458
2024-06-30,202427,86.0,86,86,86,0.21288103,6.2896028,0,4,150140220242720277,2025-07-08,,0.88898975,1367336,24.9776857142857,91.089,1,0.0,2,81.4530285714286,66.5895142857143,27.2659285714286,30.2757571428571,42.0,,,,,38458
2024-06-23,202426,82.0,82,82,82,0.06014277,5.9970627,0,4,150140220242620269,2025-06-30,,0.7956226,1367336,24.8088428571429,92.4154428571429,1,0.0,2,82.2732285714286,65.7386,27.0027,30.1588714285714,50.0,,,,,38458
2024-06-16,202425,101.0,101,101,101,0.5138317,7.3866262,0,4,150140220242520262,2025-06-23,,1.0048876,1367336,24.9800428571429,89.4381,1,0.0,2,78.8091571428571,63.6971857142857,27.4455714285714,30.3446142857143,52.0,,,,,38458
2024-06-09,202424,105.0,105,105,105,0.7983036,7.679166,0,4,150140220242420255,2025-06-16,,1.1258513,1367336,24.9255571428571,92.3334571428571,1,0.0,2,82.5445142857143,66.7580714285714,27.0326428571429,30.1074142857143,54.0,,,,,38458
2024-06-02,202423,115.0,115,115,115,0.8583502,8.410515,0,4,150140220242320248,2025-06-09,,1.1577595,1367336,25.2380714285714,92.1911857142857,1,0.0,2,84.1438,71.6788,27.2619428571429,30.2822285714286,63.0,,,,,38458
2024-05-26,202422,75.0,75,75,75,0.0007470324,5.4851184,0,4,150140220242220241,2025-06-02,,0.6305756,1367336,25.0426142857143,94.8519428571429,1,0.0,2,86.0186285714286,72.1135714285714,26.9662,29.7420285714286,28.0,,,,,38458
2024-05-19,202421,94.0,94,94,94,0.0015273477,6.874682,0,4,150140220242120236,2025-05-28,,0.6763019,1367336,25.5562285714286,92.3715571428571,1,0.0,2,83.1060285714286,71.3361857142857,27.6214714285714,30.3897857142857,38.0,,,,,38458
2024-05-12,202420,119.0,119,119,119,0.019997695,8.703054,0,4,150140220242020227,2025-05-19,,0.7789928,1367336,25.1895285714286,94.3668571428571,1,0.0,2,86.6644857142857,72.0240428571429,26.9970571428571,30.0532571428571,61.0,,,,,38458
2024-05-05,202419,148.0,148,148,148,0.1621318,10.823967,0,4,150140220241920223,2025-05-15,,0.89467335,1367336,25.4924142857143,94.7230857142857,1,0.0,2,87.4035,74.7538857142857,27.1365571428571,29.8753571428571,77.0,,,,,38458
2024-04-28,202418,150.0,150,150,150,0.035233323,10.970237,0,4,150140220241820213,2025-05-05,,0.8199507,1367336,25.1477857142857,94.9151857142857,1,0.0,2,87.7049142857143,73.8439571428571,26.8678571428571,29.8464857142857,77.0,,,,,38458
2024-04-21,202417,166.0,166,166,166,0.0062562036,12.140395,0,4,150140220241720206,2025-04-28,,0.77352935,1367336,24.8822285714286,96.5189714285714,1,0.0,2,87.799,75.4119428571429,26.6095428571429,29.0961714285714,88.0,,,,,38458
2024-04-14,202416,178.0,178,178,178,5.079934e-05,13.018015,0,4,150140220241620200,2025-04-22,,0.68744063,1367336,24.8954285714286,95.7114285714286,1,0.0,2,89.7587571428571,78.5437285714286,26.3504857142857,28.7092571428571,85.0,,,,,38458
2024-04-07,202415,196.0,196,196,196,3.7733753e-06,14.334443,0,4,150140220241520192,2025-04-14,,0.66492236,1367336,24.6885142857143,96.1952714285714,1,0.0,2,90.6077857142857,81.5182571428571,26.1302857142857,28.2876714285714,106.0,,,,,38458
2024-03-31,202414,275.0,275,275,275,0.0457118,20.1121,0,4,150140220241420188,2025-04-10,,0.87028426,1367336,25.1598571428571,94.118,1,0.0,2,86.5173,72.5321142857143,26.7980571428571,29.7478571428571,156.0,,,,,38458
2024-03-24,202413,303.0,303,303,303,0.0710426,22.15988,0,4,150140220241320178,2025-03-31,,0.89065856,1367336,24.4845285714286,95.3730428571429,1,0.0,2,89.0448142857143,78.9275714285714,26.1432428571429,28.4049,157.0,,,,,38458
2024-03-17,202412,323.0,323,323,323,0.033104345,23.622578,0,4,150140220241220171,2025-03-24,,0.8697813,1367336,24.6535,96.3844,1,0.0,2,91.0224571428571,82.8578571428571,25.8807857142857,27.4138857142857,154.0,,,,,38458
2024-03-10,202411,310.0,310,310,310,0.004275413,22.671824,0,4,150140220241120165,2025-03-18,,0.8181194,1367336,25.172,94.9059714285714,1,0.0,2,88.5243714285714,77.8588,26.6671714285714,29.1719285714286,176.0,,,,,38458
2024-03-03,202410,411.0,411,411,411,0.9695015,30.058449,0,4,150140220241020157,2025-03-10,,1.144662,1367336,25.1348285714286,93.3989,1,1.0,2,86.2965714285714,75.9522714285714,26.8110571428571,29.2369142857143,247.0,,,,,38458
2024-02-25,202409,387.0,387,387,387,0.99805605,28.303211,0,4,150140220240920153,2025-03-06,,1.2449619,1367336,24.4043428571429,95.4123571428571,1,1.0,2,90.8886857142857,83.0873,25.6137428571429,27.3870571428571,239.0,,,,,38458
2024-02-18,202408,365.0,365,365,365,0.99999994,26.694242,0,4,150140220240820145,2025-02-26,,1.5386826,1367336,24.7557714285714,91.8096571428571,1,1.0,2,84.3328,73.7468285714286,26.3970571428571,28.6807285714286,218.0,,,,,38458
2024-02-11,202407,353.0,353,353,353,1.0,25.816624,0,4,150140220240720137,2025-02-18,,2.033834,1367336,24.9944285714286,93.4305142857143,1,1.0,2,86.7025714285714,77.2945285714286,26.5377857142857,28.8642285714286,226.0,,,,,38458
2024-02-04,202406,212.0,212,212,212,0.9999958,15.5046015,0,4,150140220240620130,2025-02-11,,1.6296108,1367336,25.5505142857143,92.2370857142857,1,1.0,2,83.2319142857143,72.1436142857143,27.4981857142857,30.1051571428571,154.0,,,,,38458
2024-01-28,202405,149.0,149,149,149,0.9998213,10.897102,0,4,150140220240520122,2025-02-03,,1.5897301,1367336,25.1504714285714,93.3924571428571,1,1.0,2,85.6175857142857,72.2858428571429,26.8297571428571,29.5603428571429,94.0,,,,,38458
2024-01-21,202404,131.0,131,131,131,0.9999979,9.580673,0,4,150140220240420116,2025-01-28,,1.9558816,1367336,25.7497714285714,91.3801571428571,1,1.0,2,82.6076142857143,71.8179857142857,27.5650285714286,29.9762857142857,75.0,,,,,38458
2024-01-14,202403,91.0,91,91,91,0.9999767,6.6552773,0,4,150140220240320108,2025-01-20,,2.0551882,1367336,25.0701285714286,93.2242857142857,1,1.0,2,83.7413857142857,69.1247571428571,27.0309714285714,30.0431571428571,59.0,,,,,38458
2024-01-07,202402,61.0,61,61,61,0.9999885,4.46123,0,2,150140220240220102,2025-01-14,,2.6421847,1367336,24.7760285714286,94.0554,1,1.0,2,86.8532571428571,76.5386428571429,26.3581285714286,28.5732857142857,40.0,,,,,38458
2023-12-31,202401,53.0,53,53,53,1.0,3.8761504,0,2,150140220240120095,2025-01-07,,4.877062,1367336,25.0553571428571,94.0354,1,1.0,1,86.4866,73.7577571428571,26.6339571428571,29.2353142857143,26.0,,,,,38458
2023-12-24,202352,13.0,13,13,13,0.84297997,0.95075387,0,2,150140220235220087,2024-12-30,,1.5390815,1367336,25.8022571428571,90.8750285714286,1,0.0,0,81.5937714285714,68.0848857142857,27.7331285714286,30.6375857142857,8.0,,,,,38458
2023-12-17,202351,5.0,5,5,5,0.10291057,0.36567456,0,2,150140220235120080,2024-12-23,,0.5175227,1367336,25.7534,91.2005714285714,1,0.0,0,81.2870857142857,67.1354142857143,27.6266285714286,30.3914857142857,2.0,,,,,38458
2023-12-10,202350,10.0,10,10,10,0.39460757,0.7313491,0,2,150140220235020073,2024-12-16,,0.8923264,1367336,25.9000428571429,88.2549571428571,1,0.0,0,75.0664142857143,58.9823714285714,28.3274,31.5306714285714,8.0,,,,,38458
2023-12-03,202349,7.0,7,7,7,0.13167569,0.5119444,0,2,150140220234920066,2024-12-09,,0.5981892,1367336,25.5831571428571,90.9915857142857,1,0.0,0,79.0794714285714,62.2170857142857,27.8413,31.1655142857143,4.0,,,,,38458
2023-11-26,202348,15.0,15,15,15,0.69626045,1.0970237,0,1,150140220234820059,2024-12-02,,1.2139581,1367336,25.7011428571429,89.4154571428571,1,0.0,0,77.8501285714286,60.8256428571429,27.9315142857143,31.4697714285714,10.0,,,,,38458
2023-11-19,202347,9.0,9,9,9,0.18020754,0.6582142,0,1,150140220234720055,2024-11-28,,0.680971,1367336,25.9172,87.2491714285714,1,0.0,0,75.3218142857143,58.2315,28.3720142857143,31.7424857142857,4.0,,,,,38458
2023-11-12,202346,14.0,14,14,14,0.4465675,1.0238888,0,2,150140220234620046,2024-11-19,,0.9517752,1367336,25.1773285714286,89.8325285714286,1,0.0,0,74.2484571428571,56.8614857142857,28.6922857142857,32.8126142857143,8.0,,,,,38458
2023-11-05,202345,12.0,12,12,12,0.1735197,0.87761897,0,2,150140220234520038,2024-11-11,,0.7068735,1367336,25.1832714285714,88.9267142857143,1,0.0,0,73.5558,56.3314285714286,28.6547285714286,32.6831142857143,2.0,,,,,38458
2023-10-29,202344,15.0,15,15,15,0.35473537,1.0970237,0,2,150140220234420032,2024-11-05,,0.8781084,1367336,25.1711714285714,89.8431428571429,1,0.0,0,73.9985857142857,55.7572857142857,28.7251714285714,32.8781428571429,5.0,,,,,38458
2023-10-22,202343,15.0,15,15,15,0.6654258,1.0970237,0,2,150140220234320026,2024-10-30,,1.1734747,1367336,24.6248,89.9773142857143,1,0.0,0,74.1554285714286,54.9371428571429,28.4164857142857,32.8004714285714,3.0,,,,,38458
2023-10-15,202342,26.0,26,26,26,0.9978609,1.9015077,0,2,150140220234220018,2024-10-22,,2.7327228,1367336,24.9835142857143,90.1733571428571,1,1.0,1,77.3743857142857,59.4873857142857,28.1236285714286,32.4868571428571,11.0,,,,,38458
2023-10-08,202341,7.0,7,7,7,0.32997257,0.5119444,0,2,150140220234120011,2024-10-15,,0.8050288,1367336,25.1162714285714,87.9510857142857,1,0.0,0,74.0477571428572,57.3709,28.4363857142857,32.5856142857143,1.0,,,,,38458
2023-10-01,202340,10.0,10,10,10,0.52830863,0.7313491,0,2,150140220234020004,2024-10-08,,1.0318332,1367336,24.9937142857143,88.3202857142857,1,0.0,0,72.3864857142857,53.6294571428571,28.7359857142857,33.2387714285714,4.0,,,,,38458
2023-09-24,202339,8.0,8,8,8,0.17576411,0.5850793,0,2,150140220233919997,2024-10-01,,0.6626793,1367336,24.8086142857143,88.8849142857143,1,0.0,0,72.8214714285714,53.4577428571429,28.6809714285714,33.1955428571429,1.0,,,,,38458
2023-09-17,202338,8.0,8,8,8,0.08762672,0.5850793,0,2,150140220233819989,2024-09-23,,0.5623628,1367336,24.9379571428571,90.0585857142857,1,0.0,0,75.7755,57.8498142857143,28.3123428571429,32.5083714285714,5.0,,,,,38458
2023-09-10,202337,13.0,13,13,13,0.2931162,0.95075387,0,2,150140220233719983,2024-09-17,,0.81861246,1367336,24.8763428571429,89.8783714285714,1,0.0,0,76.4733571428571,58.1400857142857,28.0727428571429,32.4960142857143,6.0,,,,,38458
2023-09-03,202336,15.0,15,15,15,0.28874686,1.0970237,0,2,150140220233619978,2024-09-12,,0.8257505,1367336,24.5759285714286,88.6837285714286,1,0.0,0,74.8564571428571,58.7843857142857,28.0220857142857,32.2329714285714,6.0,,,,,38458
2023-08-27,202335,15.0,15,15,15,0.23681429,1.0970237,0,2,150140220233519969,2024-09-03,,0.7841053,1367336,24.442,90.3884857142857,1,0.0,0,73.9490857142857,53.8168,28.1541714285714,32.5919,11.0,,,,,38458
2023-08-20,202334,17.0,17,17,17,0.42590237,1.2432935,0,2,150140220233419962,2024-08-27,,0.93956375,1367336,24.6173571428571,89.6439714285714,1,0.0,0,74.7152571428571,56.6905714285714,28.1454428571429,32.3116571428571,9.0,,,,,38458
2023-08-13,202333,26.0,26,26,26,0.87900686,1.9015077,0,2,150140220233319955,2024-08-20,,1.4203446,1367336,24.755,90.5692,1,0.0,0,75.1070714285714,52.3398428571429,28.3130714285714,32.9840857142857,16.0,,,,,38458
2023-08-06,202332,10.0,10,10,10,0.0710131,0.7313491,0,2,150140220233219948,2024-08-13,,0.57022095,1367336,24.5947714285714,90.8928428571429,1,0.0,0,78.2401285714286,61.0381428571429,27.7269571428571,31.6655142857143,4.0,,,,,38458
2023-07-30,202331,25.0,25,25,25,0.93766135,1.8283728,0,2,150140220233119941,2024-08-06,,1.6243657,1367336,24.8357714285714,91.7102,1,0.0,0,79.3738285714286,61.0698714285714,27.7930714285714,31.7685571428571,12.0,,,,,38458
2023-07-23,202330,14.0,14,14,14,0.6573889,1.0238888,0,2,150140220233019933,2024-07-29,,1.169738,1367336,24.6076428571429,90.0546857142857,1,0.0,0,76.5822714285714,56.6758285714286,27.911,32.1105428571429,13.0,,,,,38458
2023-07-16,202329,20.0,20,20,20,0.95063907,1.4626982,0,2,150140220232919928,2024-07-24,,1.8182395,1367336,24.3633142857143,90.1689285714286,1,0.0,0,76.8689142857143,57.4606857142857,27.5095142857143,31.7212285714286,11.0,,,,,38458
2023-07-09,202328,9.0,9,9,9,0.14611483,0.6582142,0,2,150140220232819919,2024-07-15,,0.64601755,1367336,24.3067714285714,91.9379571428571,1,0.0,0,80.8778571428571,65.8354142857143,27.1687571428571,31.0092142857143,2.0,,,,,38458
2023-07-02,202327,8.0,8,8,8,0.025414102,0.5850793,0,2,150140220232719912,2024-07-08,0,0.45475885,1367336,26.2857142857143,95.2143037142857,1,0.0,0,93.3948428571429,90.7072765714286,26.8174601428571,27.4285714285714,4.0,,,,,38458
