,Modelo_1,Modelo_2,Observado,Forecast,Upper,Lower
2018-12-23,ARIMAX,,3.0,1.6068993059584855,4.868227656730597,-0.07183435328604254
2018-12-30,ARIMAX,,2.0,2.349461062963374,6.54161454955675,0.19207080353195732
2019-01-06,ARIMAX,,4.0,2.6033989443499546,7.10646273191079,0.2842325745960205
2019-01-13,ARIMAX,,3.0,3.596392457555087,9.338820575926144,0.6385310879693794
2019-01-20,ARIMAX,,5.0,3.7292098645243392,9.628628272476615,0.6881912636970339
2019-01-27,ARIMAX,,1.0,4.724395887522926,11.860016229037642,1.0447997569551444
2019-02-03,ARIMAX,,8.0,3.149410127513038,8.343803456310678,0.47650612002207804
2019-02-10,ARIMAX,,7.0,4.680934540815469,11.816289687186336,1.0153646251647344
2019-02-17,ARIMAX,,2.0,6.057256456807533,14.919667809245398,1.5040462882654269
2019-02-24,ARIMAX,,4.0,4.291131921498344,10.949232564894247,0.873909165933192
2019-03-03,ARIMAX,,2.0,4.475972977926738,11.356478714524618,0.941988151309994
2019-03-10,ARIMAX,,3.0,3.3109636191136183,8.728005981709883,0.5287392470116515
2019-03-17,ARIMAX,,2.0,3.1375993539691436,8.329096062661668,0.46924106109212593
2019-03-24,ARIMAX,,4.0,2.55870360931309,7.018500135244709,0.2650560175281398
2019-03-31,ARIMAX,,3.0,2.7449773772886354,7.437417687466036,0.3314781169665009
2019-04-07,ARIMAX,,1.0,2.7234401049892973,7.382930777732383,0.3253583663423545
2019-04-14,ARIMAX,,1.0,1.6376668505896956,4.938991935784267,-0.061268228124193067
2019-04-21,ARIMAX,,3.0,1.2627438296910531,4.091128958630611,-0.19375059280711254
2019-04-28,ARIMAX,,1.0,1.5916522752032196,4.83588284692285,-0.07777294646451934
2019-05-05,ARIMAX,,1.0,1.3219894514213184,4.224783268502321,-0.17273162652607255
2019-05-12,ARIMAX,,6.0,0.9333065087721713,3.3466824829051682,-0.310301945441971
2019-05-19,ARIMAX,,5.0,1.9641611292500691,5.705138274726569,0.046965715538964545
2019-05-26,ARIMAX,,3.0,2.928546656797966,7.900208178966601,0.3841317342928709
