,Modelo_1,Modelo_2,Observado,Forecast,Upper,Lower
2018-12-23,ARIMAX,GARCH,3.0,1.7545831487676338,6.213940565206015,-0.24497751695594405
2018-12-30,ARIMAX,GARCH,2.0,2.5132228245894064,8.038310170273743,-0.00532971908994208
2019-01-06,ARIMAX,GARCH,4.0,2.754335968815963,8.490412265222892,0.09695798392420839
2019-01-13,ARIMAX,GARCH,3.0,3.7592895999372833,10.836864581042205,0.431162687602607
2019-01-20,ARIMAX,GARCH,5.0,3.8674816371722027,10.904377089533707,0.5072739429981502
2019-01-27,ARIMAX,GARCH,1.0,4.859561025515133,13.110879253840164,0.8635378835389798
2019-02-03,ARIMAX,GARCH,8.0,3.344942774150414,10.13211237822589,0.23931402404013824
2019-02-10,ARIMAX,GARCH,7.0,4.918955052708352,13.9967561709744,0.7223389222938001
2019-02-17,ARIMAX,GARCH,2.0,6.306084526139464,17.205983827415437,1.1895869767900733
2019-02-24,ARIMAX,GARCH,4.0,4.54353787410627,13.255109727643315,0.5707894823005738
2019-03-03,ARIMAX,GARCH,2.0,4.700599361749922,13.414891984339636,0.6646767302585684
2019-03-10,ARIMAX,GARCH,3.0,3.492973133773396,10.395003927367833,0.30509692091341295
2019-03-17,ARIMAX,GARCH,2.0,3.286054975893871,9.692980105501663,0.28184012902849687
2019-03-24,ARIMAX,GARCH,4.0,2.6693759713469576,8.037780715389694,0.12238304591395865
2019-03-31,ARIMAX,GARCH,3.0,2.842753548252312,8.34018064702596,0.20278583885251264
2019-04-07,ARIMAX,GARCH,1.0,2.7998450418340877,8.09061814382608,0.22218173340413452
2019-04-14,ARIMAX,GARCH,1.0,1.6989232381403552,5.505534706378726,-0.143018879359994
2019-04-21,ARIMAX,GARCH,3.0,1.3049321938900356,4.48238128902725,-0.25128890377364105
2019-04-28,ARIMAX,GARCH,1.0,1.627902059426955,5.172842408009099,-0.12811494495422432
2019-05-05,ARIMAX,GARCH,1.0,1.3448457696587766,4.437826414835704,-0.20514234428384254
2019-05-12,ARIMAX,GARCH,6.0,0.9431460050953825,3.4386983249525684,-0.324599638730079
2019-05-19,ARIMAX,GARCH,5.0,1.9750760252347659,5.807047307541781,0.03129147990627664
2019-05-26,ARIMAX,GARCH,3.0,2.9272145076200666,7.887745911637329,0.38607254356703136
2019-06-02,ARIMAX,GARCH,3.0,2.9561356692060357,7.821340128504368,0.4304433948771687
2019-06-09,ARIMAX,GARCH,0.0,2.9345026251858846,7.644399995883331,0.4569178632089302
2019-06-16,ARIMAX,GARCH,4.0,1.3258112969425309,4.753673692909171,-0.2940085052734166
2019-06-23,ARIMAX,GARCH,2.0,2.2800150292097774,7.098607551460726,-0.0010028849754661737
2019-06-30,ARIMAX,GARCH,2.0,2.3598098160972625,7.181259579608642,0.04831040387829602
2019-07-07,ARIMAX,GARCH,3.0,2.476843045338749,7.350272084321553,0.11088548329872122
2019-07-14,ARIMAX,GARCH,0.0,2.8482225106617896,8.112790604568755,0.25942932363421206
2019-07-21,ARIMAX,GARCH,3.0,1.648266304195289,5.861190040843094,-0.2597131112245885
2019-07-28,ARIMAX,GARCH,7.0,2.476011245302545,7.889769783074534,-0.005307023793887987
2019-08-04,ARIMAX,GARCH,5.0,4.574169617212781,13.196546995025429,0.6070538832289284
2019-08-11,ARIMAX,GARCH,6.0,4.997057825548359,14.044237008067245,0.7761945652646999
2019-08-18,ARIMAX,GARCH,4.0,6.090697108673278,16.53645989333581,1.1533773472673712
2019-08-25,ARIMAX,GARCH,7.0,5.040357728969126,13.791203787559915,0.8664453297949494
2019-09-01,ARIMAX,GARCH,6.0,7.620376283998546,19.848249420538714,1.72152864539998
2019-09-08,ARIMAX,GARCH,3.0,8.046043697145162,20.60323991534922,1.9183510669636497
2019-09-15,ARIMAX,GARCH,2.0,6.216902711029751,16.616082696588432,1.24234543239896
2019-09-22,ARIMAX,GARCH,5.0,4.243922921082267,12.155726547873979,0.5529643691534238
2019-09-29,ARIMAX,GARCH,4.0,4.952348371857114,13.72928473898651,0.8059206497648413
2019-10-06,ARIMAX,GARCH,8.0,4.972484708416077,13.578258797485924,0.8557538552097526
2019-10-13,ARIMAX,GARCH,2.0,6.188205431000438,16.352104836365495,1.2766863318609334
2019-10-20,ARIMAX,GARCH,5.0,4.442094140731326,12.487192735381345,0.6467047043986096
2019-10-27,ARIMAX,GARCH,2.0,4.74572687945435,13.062628922819206,0.7769639143282325
2019-11-03,ARIMAX,GARCH,8.0,3.703853997005729,10.577745142653876,0.44053962961778187
2019-11-10,ARIMAX,GARCH,2.0,5.2525935324107005,14.27328440848166,0.9402954788830385
2019-11-17,ARIMAX,GARCH,10.0,3.892763947284634,11.108139734508022,0.4842679426708971
2019-11-24,ARIMAX,GARCH,2.0,5.807776606178598,15.739332990969807,1.0885228438596009
2019-12-01,ARIMAX,GARCH,6.0,4.527840151809835,12.842688346919775,0.6423461201444283
2019-12-08,ARIMAX,GARCH,9.0,5.375047014295402,14.777373045069387,0.9337135335845257
2019-12-15,ARIMAX,GARCH,3.0,7.169223587796949,19.007722188439388,1.5234884591380171
2019-12-22,ARIMAX,GARCH,6.0,5.888199111635875,16.04458917639735,1.0899594532007033
2019-12-29,ARIMAX,GARCH,14.0,6.877659914507585,18.246106352508736,1.4438670544006211
2020-01-05,ARIMAX,GARCH,16.0,9.846713370335221,25.29138771215447,2.4112262042339965
2020-01-12,ARIMAX,GARCH,14.0,13.206486805392295,33.108935551161856,3.541511299699491
2020-01-19,ARIMAX,GARCH,16.0,15.065297572187006,37.10737375177173,4.242841192321495
2020-01-26,ARIMAX,GARCH,16.0,16.254993052748798,39.44153009753925,4.746259908523594
2020-02-02,ARIMAX,GARCH,12.0,18.135883861443606,43.317715946268564,5.50120836050026
2020-02-09,ARIMAX,GARCH,22.0,16.436890426899165,39.129092509466105,4.986410985360127
2020-02-16,ARIMAX,GARCH,10.0,19.38979326383664,45.397845986544965,6.131996503232278
2020-02-23,ARIMAX,GARCH,7.0,15.900876559364896,37.83506435699139,4.81736436698387
2020-03-01,ARIMAX,GARCH,7.0,12.45841805145578,30.561811664120093,3.477499730016856
2020-03-08,ARIMAX,GARCH,8.0,9.880762960988871,24.534037092042308,2.6158413198333843
2020-03-15,ARIMAX,GARCH,3.0,9.48785877131626,23.32834113759552,2.5536181287490956
2020-03-22,ARIMAX,GARCH,4.0,6.1369848244651894,16.268162081350468,1.2515307363105568
2020-03-29,ARIMAX,GARCH,2.0,5.015345976290004,13.418365710122346,0.9284850006972354
2020-04-05,ARIMAX,GARCH,3.0,3.2875777717937704,9.385664249444904,0.34998680988145037
2020-04-12,ARIMAX,GARCH,1.0,2.856896797037501,8.23100571363801,0.2396374288249606
2020-04-19,ARIMAX,GARCH,1.0,1.8494266480628436,5.8666579836528,-0.09485607366442457
2020-04-26,ARIMAX,GARCH,0.0,1.3162218662448846,4.532159110423666,-0.2529211469736335
2020-05-03,ARIMAX,GARCH,0.0,0.587739932748307,2.8760222442999552,-0.5067726735234802
2020-05-10,ARIMAX,GARCH,0.0,0.2626886476642089,2.0624113458757143,-0.6032890079503673
