,Modelo_1,Modelo_2,Observado,Forecast,Upper,Lower
2023-08-13,ARIMAX,EGARCH,16.0,9.725721536183817,24.353212639095155,2.5210202022375148
2023-08-20,ARIMAX,EGARCH,9.0,11.690419758752617,28.223189387747325,3.352512476378755
2023-08-27,ARIMAX,EGARCH,11.0,10.969021963772567,27.357644968322976,2.9138040545575667
2023-09-03,ARIMAX,EGARCH,6.0,11.247353077894342,26.71346946881808,3.323536645548914
2023-09-10,ARIMAX,EGARCH,6.0,10.654684140376363,26.8207954031764,2.762748627805196
2023-09-17,ARIMAX,EGARCH,5.0,7.2830786089343595,18.234978644545052,1.8014592534595395
2023-09-24,ARIMAX,EGARCH,1.0,6.479382789199666,16.849556468706048,1.415757914668244
2023-10-01,ARIMAX,EGARCH,4.0,3.895817551484026,11.197405150990857,0.4677644424481572
2023-10-08,ARIMAX,EGARCH,1.0,3.658336113563982,10.757646332865662,0.3647927224482353
2023-10-15,ARIMAX,EGARCH,11.0,2.881649444041791,8.884205653917057,0.11944989964230895
2023-10-22,ARIMAX,EGARCH,3.0,4.985327091528723,13.855676039646285,0.8063366206154114
2023-10-29,ARIMAX,EGARCH,5.0,4.863689581533418,13.45216887179084,0.7914688054666041
2023-11-05,ARIMAX,EGARCH,2.0,4.542826686534782,12.451948325427296,0.7394611007424945
2023-11-12,ARIMAX,EGARCH,8.0,3.506037844113272,9.906090764191676,0.420730904497735
2023-11-19,ARIMAX,EGARCH,4.0,4.945315735639641,13.355844534299383,0.8821216889835931
2023-11-26,ARIMAX,EGARCH,10.0,7.244289041122898,18.559002504771765,1.6897189233090264
2023-12-03,ARIMAX,EGARCH,4.0,7.677154724663808,20.210443806218603,1.689455038672273
2023-12-10,ARIMAX,EGARCH,8.0,7.235942750841648,19.174357877712527,1.5433903061066414
2023-12-17,ARIMAX,EGARCH,2.0,8.888684454060181,22.830075659779805,2.1412351699718384
2023-12-24,ARIMAX,EGARCH,8.0,7.2149612235485,19.50828662435838,1.454047246538329
2023-12-31,ARIMAX,EGARCH,26.0,7.761474756971573,20.979061728563533,1.5949530614569063
2024-01-07,ARIMAX,EGARCH,40.0,15.94269470571188,40.35279178826907,4.264980803973463
2024-01-14,ARIMAX,EGARCH,59.0,29.276363813401616,70.96447267691791,8.846091715566446
2024-01-21,ARIMAX,EGARCH,75.0,44.13098111612342,104.76911181894924,14.031194847748353
2024-01-28,ARIMAX,EGARCH,94.0,47.56801837413721,116.14095085011867,14.405454625897407
2024-02-04,ARIMAX,EGARCH,154.0,68.04830624708765,145.08037294002622,26.142703221226366
2024-02-11,ARIMAX,EGARCH,226.0,119.50810297133663,278.30060880923213,39.890009300405374
2024-02-18,ARIMAX,EGARCH,218.0,176.57397148723646,432.97659671419956,54.05724209547752
2024-02-25,ARIMAX,EGARCH,239.0,208.83124811639684,462.45255679416215,76.04360627677721
2024-03-03,ARIMAX,EGARCH,247.0,194.18631040982132,423.75246444014306,72.39040666424607
2024-03-10,ARIMAX,EGARCH,176.0,230.26980511995222,498.6411887941227,86.96456346354967
2024-03-17,ARIMAX,EGARCH,154.0,222.6689818202228,489.75922003334034,82.0011646200735
2024-03-24,ARIMAX,EGARCH,157.0,171.49448073500218,375.64922011634513,63.50790925729403
2024-03-31,ARIMAX,EGARCH,156.0,157.2100637648632,319.7681016320326,65.39914516487316
2024-04-07,ARIMAX,EGARCH,106.0,170.15962130714564,361.2372841606588,66.24539194950005
2024-04-14,ARIMAX,EGARCH,85.0,134.3778818870393,287.76185925016534,51.53939566373728
2024-04-21,ARIMAX,EGARCH,88.0,97.57067810716694,216.9313419913555,35.133570875974755
2024-04-28,ARIMAX,EGARCH,77.0,92.44524816080462,191.16697659245614,37.379232523785376
2024-05-05,ARIMAX,EGARCH,77.0,83.73207578902313,172.83693276722255,33.926738976470986
2024-05-12,ARIMAX,EGARCH,61.0,76.35090613459033,160.92178982721327,29.911356597341705
2024-05-19,ARIMAX,EGARCH,38.0,63.88548087792182,133.8024553764025,25.235186219050828
2024-05-26,ARIMAX,EGARCH,28.0,47.024059042362396,99.45154742659751,18.215049545218456
2024-06-02,ARIMAX,EGARCH,63.0,35.787278436626686,77.60987585268123,13.236331588884935
2024-06-09,ARIMAX,EGARCH,54.0,43.29622394964019,92.25249710922472,16.54726840195797
2024-06-16,ARIMAX,EGARCH,52.0,53.418411243319134,109.75848289990978,21.70562379713652
2024-06-23,ARIMAX,EGARCH,50.0,51.729298887687705,105.10069935548673,21.384918615554756
2024-06-30,ARIMAX,EGARCH,42.0,51.40657400311086,109.60781409655186,19.67788308714503
2024-07-07,ARIMAX,EGARCH,35.0,45.24287245536686,89.44698456886556,19.48066752993455
2024-07-14,ARIMAX,EGARCH,48.0,41.63193806268682,86.44044697421619,16.580203727187218
2024-07-21,ARIMAX,EGARCH,41.0,42.41055295544169,86.07733657208294,17.51578214475094
2024-07-28,ARIMAX,EGARCH,30.0,45.59355675356209,93.52909795413235,18.535558504122182
2024-08-04,ARIMAX,EGARCH,36.0,36.03596582853694,69.537139610673,16.055547923592368
2024-08-11,ARIMAX,EGARCH,34.0,36.161081612376435,71.91190499292023,15.38220961578304
2024-08-18,ARIMAX,EGARCH,24.0,39.48786840383798,80.44633082841557,16.195263064533243
2024-08-25,ARIMAX,EGARCH,23.0,35.58398249608585,72.61879737709886,14.529126239766626
2024-09-01,ARIMAX,EGARCH,11.0,26.818780655519237,54.66329284019069,10.909871730171503
2024-09-08,ARIMAX,EGARCH,16.0,20.858277706177592,46.8494708498645,7.14136580484249
2024-09-15,ARIMAX,EGARCH,29.0,17.712493066174954,37.6568995633348,6.632114517445133
2024-09-22,ARIMAX,EGARCH,18.0,24.897162784368295,53.41754779094584,9.288440876648961
2024-09-29,ARIMAX,EGARCH,25.0,21.337281627972335,45.70934538875007,7.941398589578986
2024-10-06,ARIMAX,EGARCH,10.0,22.343919152030047,47.14028432016209,8.546714347858337
2024-10-13,ARIMAX,EGARCH,14.0,16.793232855496658,36.566294057173884,6.017001766629699
2024-10-20,ARIMAX,EGARCH,19.0,13.438309734802914,29.043164785494966,4.823790206650631
2024-10-27,ARIMAX,EGARCH,13.0,17.829452680302488,38.75678161059924,6.424848649314743
2024-11-03,ARIMAX,EGARCH,17.0,18.30457081703275,39.87232731688946,6.579566236658399
2024-11-10,ARIMAX,EGARCH,19.0,16.295203479239664,35.91045102823136,5.706553747613431
2024-11-17,ARIMAX,EGARCH,14.0,19.464134225081878,40.84615258739631,7.477921231661125
2024-11-24,ARIMAX,EGARCH,13.0,18.589105964678453,38.21850880314312,7.379430741670579
2024-12-01,ARIMAX,EGARCH,16.0,17.76264079818387,38.76391179100587,6.355508623380128
2024-12-08,ARIMAX,EGARCH,22.0,19.283711984626972,40.920423364258184,7.267607729241058
2024-12-15,ARIMAX,EGARCH,17.0,23.716935974357558,50.08400869406977,9.074151013349088
2024-12-22,ARIMAX,EGARCH,14.0,26.392403347232335,54.19234992321947,10.605260620375537
2024-12-29,ARIMAX,EGARCH,20.0,21.256201331416793,46.990213386435485,7.491140186132911
